,method,ds,TP,FP,FN,P,R,F1
0,OBS-iou,MTSD-OBS-disabled,14907.0,21913.0,11194.0,40.48614883215644,57.11275430060151,47.3832265857186
1,OBS-iou,MTSD-OBS-th01,14989.0,17300.0,11112.0,46.421381894762916,57.4269185088694,51.340983045041966
2,OBS-iou,MTSD-OBS-th02,15050.0,17411.0,11051.0,46.36332830165429,57.66062602965404,51.398517810184075
3,OBS-iou,MTSD-OBS-th03,15068.0,17570.0,11033.0,46.16704454929837,57.72958890463967,51.30492517748003
4,OBS-iou,MTSD-OBS-th04,15045.0,17742.0,11056.0,45.88708939518712,57.641469675491365,51.096997690531175
5,OBS-iou,MTSD-OBS-th05,15018.0,17894.0,11083.0,45.63077297034516,57.53802536301291,50.89725992577906
6,OBS-iou,MTSD-OBS-th06,14988.0,17998.0,11113.0,45.43745831564907,57.42308723803685,50.73197149965305
7,OBS-iou,MTSD-OBS-th07,14956.0,18143.0,11145.0,45.18565515574488,57.30048657139574,50.52702702702702
8,OBS-iou,MTSD-OBS-th08,14924.0,18355.0,11177.0,44.845097508939574,57.17788590475461,50.26608285618054
9,OBS-iou,MTSD-OBS-th09,14858.0,18489.0,11243.0,44.555732149818574,56.92502202980728,49.98654286098775
