,method,iou_th,TP,FP,FN,P,R,F1
0,NMS_no_dil,0.1,12334.0,3931.0,3908.0,75.83154011681525,75.93892377785987,75.88519395822438
1,NMS_no_dil,0.2,14346.0,4272.0,1896.0,77.05446342249435,88.32656076837829,82.30636833046472
2,NMS_no_dil,0.3,15169.0,5305.0,1073.0,74.08908860017583,93.39367073020564,82.62882666957185
3,NMS_no_dil,0.4,15384.0,6589.0,858.0,70.0131980157466,94.71739933505727,80.5128876095774
4,NMS_no_dil,0.5,15477.0,7877.0,765.0,66.27130256058919,95.28998891762099,78.17456308718053
5,NMS_no_dil,0.6,15531.0,8940.0,711.0,63.46696089248498,95.62246028814185,76.2950408960283
6,NMS_no_dil,0.7,15546.0,9847.0,696.0,61.22159650297326,95.71481344661987,74.67755494175574
7,NMS_no_dil,0.8,15550.0,10547.0,692.0,59.58539295704487,95.73944095554735,73.45473440563075
8,NMS_no_dil,0.9,15554.0,10899.0,688.0,58.79862397459645,95.76406846447482,72.86099074833118
9,OBS_no_NMS_no_dil,0.1,14688.0,2196.0,1554.0,86.99360341151386,90.43221278167714,88.6795870313349
10,OBS_no_NMS_no_dil,0.2,15169.0,2448.0,1073.0,86.10433104387806,93.39367073020564,89.60099235063055
11,OBS_no_NMS_no_dil,0.3,15383.0,2743.0,859.0,84.86704181838243,94.71124245782539,89.5193202979516
12,OBS_no_NMS_no_dil,0.4,15464.0,3174.0,778.0,82.97027578066316,95.2099495136067,88.6697247706422
13,OBS_no_NMS_no_dil,0.5,15510.0,3799.0,732.0,80.32523693614377,95.49316586627262,87.25492953784703
14,OBS_no_NMS_no_dil,0.6,15524.0,4638.0,718.0,76.99632972919353,95.57936214751878,85.28733106252061
15,OBS_no_NMS_no_dil,0.7,15537.0,5868.0,705.0,72.58584442887177,95.65940155153307,82.54044146943981
16,OBS_no_NMS_no_dil,0.8,15544.0,7490.0,698.0,67.48285143700616,95.70249969215614,79.15266320399226
17,OBS_no_NMS_no_dil,0.9,15550.0,9242.0,692.0,62.72184575669571,95.73944095554735,75.79080762294682
